Date,Time_Period,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2021-06-30,2,18.71999999999999,5.716666666666666,23.666666666666668,15.666666666666666,24.666666666666668,38.88333333333333,88.935,2,0,0
2021-06-30,3,2.1919999999999966,10.816666666666668,53.166666666666664,17.666666666666668,9.666666666666666,26.8,89.14833333333333,2,0,0
2021-07-01,0,20.134666666666682,9.049999999999999,35.666666666666664,16.333333333333332,20.666666666666668,49.633333333333326,88.71,3,0,0
2021-07-01,1,0.5856666666666646,7.283333333333334,17.5,15.5,27.833333333333332,50.96666666666666,88.46833333333332,3,0,0
2021-07-01,2,16.565666666666637,9.4,29.5,15.666666666666666,16.666666666666668,34.86666666666667,88.29166666666667,3,0,0
2021-07-01,3,2.174666666666666,7.883333333333333,43.5,17.166666666666668,17.833333333333332,25.450000000000003,88.83666666666666,3,0,0
2021-07-02,0,2.2226666666666697,14.166666666666666,50.666666666666664,22.5,10.0,30.833333333333332,88.665,4,0,0
2021-07-02,1,6.679999999999995,15.816666666666668,52.666666666666664,14.0,13.5,20.083333333333332,88.55833333333334,4,0,0
2021-07-02,2,0.09766666666666614,13.25,82.5,26.0,18.833333333333332,21.983333333333334,88.76833333333333,4,0,0
2021-07-02,3,3.473666666666668,10.616666666666667,42.833333333333336,24.0,11.5,23.3,88.355,4,0,0
2021-07-03,0,5.152000000000004,12.9,67.66666666666667,26.5,12.5,23.850000000000005,89.065,5,1,0
2021-07-03,1,1.44266666666667,11.766666666666666,44.833333333333336,16.0,8.666666666666666,25.450000000000003,88.95,5,1,0
2021-07-03,2,6.19766666666666,12.816666666666668,57.0,5.0,16.166666666666668,19.316666666666666,88.93833333333333,5,1,0
2021-07-03,3,0.6186666666666661,12.083333333333334,76.0,32.0,8.166666666666666,25.450000000000003,88.87,5,1,0
2021-07-04,0,0.4496666666666673,13.966666666666667,86.83333333333333,14.666666666666666,18.0,16.900000000000002,89.15333333333332,6,1,0
